ID,SPECIES,FAMILY,REFERENCE,,,
PD_0001,Cheracebus_lugens,Pitheciidae,Pithecia_pithecia,,,
PD_0002,Callibella_humilis,Callitrichidae,Callithrix_jacchus,,,
PD_0003,Cacajao_hosomi,Pitheciidae,Pithecia_pithecia,,,
PD_0004,Ateles_belzebuth,Atelidae,Ateles_geoffroyi,,,
PD_0005,Alouatta_macconnelli,Atelidae,Ateles_geoffroyi,,,
PD_0006,Chiropotes_israelita,Pitheciidae,Pithecia_pithecia,,,
PD_0007,Cebus_olivaceus,Cebidae,Cebus_albifrons,,,
PD_0008,Aotus_trivirgatus,Aotidae,Aotus_nancymaae,,,
PD_0009,Saguinus_inustus,Callitrichidae,Saguinus_midas,,,
PD_0010,Cebuella_niveiventris,Callitrichidae,Callithrix_jacchus,,,
PD_0011,Sapajus_macrocephalus,Cebidae,Cebus_albifrons,,,
PD_0012,Saimiri_ustus,Cebidae,Cebus_albifrons,,,
PD_0013,Cebus_unicolor,Cebidae,Cebus_albifrons,,,
PD_0014,Plecturocebus_cupreus,Pitheciidae,Pithecia_pithecia,,,
PD_0015,Pithecia_vanzolinii,Pitheciidae,Pithecia_pithecia,,,
PD_0016,Lagothrix_lagothricha,Atelidae,Ateles_geoffroyi,,,
PD_0017,Leontocebus_nigricollis,Callitrichidae,Saguinus_midas,,,
PD_0018,Cacajao_melanocephalus,Pitheciidae,Pithecia_pithecia,,,
PD_0019,Cacajao_ayresi,Pitheciidae,Pithecia_pithecia,,,
PD_0020,Cacajao_calvus,Pitheciidae,Pithecia_pithecia,,,
PD_0021,Cacajao_calvus,Pitheciidae,Pithecia_pithecia,,,
PD_0022,Cacajao_ayresi,Pitheciidae,Pithecia_pithecia,,,
PD_0023,Cacajao_calvus,Pitheciidae,Pithecia_pithecia,,,
PD_0024,Cacajao_calvus,Pitheciidae,Pithecia_pithecia,,,
PD_0025,Alouatta_seniculus,Atelidae,Ateles_geoffroyi,,,
PD_0026,Alouatta_puruensis,Atelidae,Ateles_geoffroyi,,,
PD_0027,Alouatta_discolor,Atelidae,Ateles_geoffroyi,,,
PD_0028,Allenopithecus_nigroviridis,Cercopithecidae,Chlorocebus_aethiops,,,
PD_0029,Allochrocebus_lhoesti,Cercopithecidae,Chlorocebus_aethiops,,,
PD_0030,Allochrocebus_preussi,Cercopithecidae,Chlorocebus_aethiops,,,
PD_0031,Allochrocebus_solatus,Cercopithecidae,Chlorocebus_aethiops,,,
PD_0032,Cercopithecus_ascanius,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0033,Cercopithecus_nictitans,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0034,Erythrocebus_patas,Cercopithecidae,Erythrocebus_patas,,,
PD_0035,Hylobates_klossii,Hylobatidae,Nomascus_siki,,,
PD_0036,Hylobates_abbotti,Hylobatidae,Nomascus_siki,,,
PD_0037,Nomascus_concolor,Hylobatidae,Nomascus_siki,,,
PD_0038,Presbytis_mitrata,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0039,Piliocolobus_badius,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0040,Lophocebus_aterrimus,Cercopithecidae,Mandrillus_sphinx,,,
PD_0041,Cercopithecus_cephus,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0042,Cercopithecus_mona,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0043,Cercopithecus_lowei,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0044,Macaca_siberu,Cercopithecidae,Macaca_mulatta,,,
PD_0045,Piliocolobus_gordonorum,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0046,Piliocolobus_kirkii,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0047,Piliocolobus_tephrosceles,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0048,Trachypithecus_crepusculus,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0049,Hylobates_muelleri,Hylobatidae,Nomascus_siki,,,
PD_0050,Hylobates_agilis,Hylobatidae,Nomascus_siki,,,
PD_0051,Nomascus_gabriellae,Hylobatidae,Nomascus_siki,,,
PD_0052,Presbytis_comata,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0053,Trachypithecus_auratus,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0054,Trachypithecus_francoisi,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0055,Colobus_polykomos,Cercopithecidae,Colobus_guereza,,,
PD_0056,Colobus_guereza,Cercopithecidae,Colobus_guereza,,,
PD_0057,Mandrillus_sphinx,Cercopithecidae,Mandrillus_sphinx,,,
PD_0058,Cercopithecus_neglectus,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0059,Cercopithecus_diana,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0060,Cercopithecus_hamlyni,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0061,Cercopithecus_mitis,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0062,Erythrocebus_patas,Cercopithecidae,Erythrocebus_patas,,,
PD_0063,Semnopithecus_vetulus,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0064,Trachypithecus_obscurus,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0065,Semnopithecus_johnii,Cercopithecidae,Rhinopithecus_roxellana,,,
PD_0066,Cercopithecus_ascanius,Cercopithecidae,Cercopithecus_albogularis,,,
PD_0067,Theropithecus_gelada,Cercopithecidae,Theropithecus_gelada,,,
PD_0068,Cercocebus_chrysogaster,Cercopithecidae,Cercocebus_atys,,,
PD_0069,Nasalis_larvatus,Cercopithecidae,Rhinopithecus_roxellana,,,
